,Accuracy,MCC,F1
knn,0.77,0.5264707867079121,0.7704026361857685
svm_rbf,0.95,0.8964585137568516,0.9499014420583048
dt,0.83,0.646391462087664,0.8268266666666668
rf,0.95,0.8994852578458399,0.9502301790281331
mlp,0.83,0.645920095796421,0.8288795899152632
stack,0.95,0.8964585137568516,0.9499014420583048
